xxxxxxx;;;;;;;
Orange juîce (6oz);Apple juice {6oz);Cranberry juice {6oz);Orange juice {6oz);Apple juice (6oz);Cranberry juice {6oz);Orange juice(6oz);
prunes;Prune juice(4oz);Prunes;Prunejuice(4oz);Prunes;Prune juice (4oz);Prunes;
Oatmeal;Cream of wheat;Oatmeal;Cream of wheat;Oatmeal;Cream of wheat Cold cereal;Oatmeal;
Cold cereal;Cold cereal;Cold cereal;Cold cereal;Cold cereal;Banana;Cold cereal;
Strawberries;Banana;Assorted eggs;Custard;Bran muffin;Beans (canned);Assorted eggs;
Cheese or  assorted eggs;Assorted eggs;;assorted eggs;Assorted eggs;;bacon;
xxxxxxx;;;;;;;
Cantonese Chicken;Breaded fish fillet with tartar sauce;Boiled pork dinner;Lasagna OS;Irish Stew;Salmon with white sauce ;Baked toupie ham;
Mashed potatoes Mixed;Mashed potatoes;Whole potatoes Carrots;Garlic bread Caesar salad;Bread roll wîtH margarine;Mashed potatoes;Scalloped potatoes;
 vegetables;Broccoli with cheese sauce ; cabbage;;;Mixed vegetables; Vegetables;
;Diced carrots;;;;;;
xxxxxxx;;;;;;;
Yogurt;Diced pear;Crushed pineapple;Apricots;Strawberry rhubarb compote;Fruit cocktail;Diced peaches;
xxxxxxx;;;;;;;
Steak Sub (peppers, onions, mushroom and cheese);Beef fricot;Vegetable soup;Chicken noodle soup;Chicken pie  (OS) with gravy ;Buckwheat pancakes Cheese;Chicken nuggets;
;Bread roll with margarine;Assorted sandwiches;Homemade baked beans Hot biscuit;Seasoned diced potatoes;;Mashed potatoes or Fries;
;;grilled cheese;;Fresh tomatoes;;Peas and carrots;
;;;;cucumbers;;Coleslaw;
xxxxxxx;;;;;;;
Mandarins;Assorted pie;Cherry square;lce Cream;Date square;Homemade cookies;Yogurt;
xxxxxxx;;;;;;;
Apple juice (6oz);Cranberry juice (6oz);Orange juice (6oz);Apple juice (6oz) ;Cranberry juice(6oz) ;Orange juice (6oz);Apple juice (6oz) ;
 Prune juice (4oz) ;Prunes ; Prune juice (4oz) ;Prunes;Prune juice (4oz) ;Prunes Oatmeal Banana;Prune juice (4oz)  ;
Cheese or  assorted eggs;Assorted eggs;Assorted eggs;Oatmeal;Bran muffin;Beans (canned);Assorted eggs and bacon;
Cream of wheat;Oatmeal ;Cream of wheat ;French toast/ syrup;Assorted eggs; Cold cereal;Cold cereal;
Cold cereal ;Cold cereal ;Cold cereal;Custard or assorted eggs;Cream of wheat ;;;
Strawberries;Banana;;;Cold cereal;;;
xxxxxxx;;;;;;;
Turkey and gravy;Bologne;Boneless chicken Shake n' Bake;Cod nuggets ;Roast Beef and gravy;Cod filet White sauce;Roast pork and gravy;
Mashed potatoes;Scalloped potatoes;Mashed potatoes;Diced potatoes with cheese and gravy;Mashed potatoes;Baked/mashed potatoes;Mashed potatoes Carrots;
Mixed vegetables   ;Carrots and green begns;Peas and yellow string beans;Mixed vegetables;Carrots and cabbage; Mixed vegetables;green beans;
xxxxxxx;;;;;;;
Banana;Applesauce;Yogurt;Diced pear;Crushed pineapple;Apricots;Mandarins;
xxxxxxx;;;;;;;
Vegetable soup ;Homemade baked beans ;Vegetable juice Bar Clam Fricot;Spaghetti with meat sauce ;Minestrone soup (OS);Vegetable Omelet;Soup of the day ;
Assorted sandwich;Bread roll;Bread roll with margarine;Garlic bread; Grilled cheese sandwich;Tossed salad with dressing;Assorted subs;
;;;;; Toast;;
xxxxxxx;;;;;;;
Homemade cookies;Banana bread;Strawberry rhubarb compote;Carrot cake;lce Cream;Leman pie;Apple Crisp;
xxxxxxx;;;;;;;
Cranberry juice {6oz);Orange juice (6oz);Apple juice (6oz);Cranberry juice {6oz);Orange juice (6oz);Apple juice {6oz);Cranberry juice {6oz);
Prunes;Prune juice (4oz);Prunes;Cream of wheat;Prunes;Prune juice (4oz);Prunes;
Oatmeal;Cream of wheat;Oatmeal;Cold cereal;Oatmeal;Cream of wheat;Oatmeal;
Cold cereal;Cold cereal;Cold cereal;Custard or assorted eggs;Cold cereal;Cold cereal;Cold cereal;
Strawberries;Banana;Assorted eggs;;Assorted eggs;Beans (canned);Assorted eggs and bacon;
Cheese or assorted eggs;Assorted eggs;;;Bran muffin;Banana;;
xxxxxxx;;;;;;;
Meatloaf;Fish cakes OS and chow chow;Hot turkey sandwich;Macaroni with ground beef and tomate sauce;BBQ pork cutlets;Salmon filet;Râpé;
Mashed potatoes Peas;Brussel sprouts with cheesesauce;Gravy;Tossed salad with dressing;Mashed potatoes ;Baked /mashed patata ;Vegetables;
Beets;;Mashed potatoes;;Carrots and;Mixed vegetables;;
;;Fries Peas;;rutabaga;;;
;;coleslaw;;;;;
xxxxxxx;;;;;;;
Fruit Cocktail;Diced peaches;Assorted fresh fruit;Applesauce;lce Cream;Diced pear;Crushed pineapple;
xxxxxxx;;;;;;;
Chicken fricot ;Tomate soup Pancakes with syrup;Ham and cauliflower chowder ; Homemade baked beans ;Pizza Casserole;Cream of broccoli OS ;Chicken à la King Casserole ;
Bread roll;;Hot biscuit;Vegetable juice;Garden Salad with dressing;Assorted Sandwiches;Garlic Bread;
;;;Bread roll;;;Asparagus;
xxxxxxx;;;;;;;
Wild Blueberry Crisp;Yogurt;Pineapple square;Homemade cookies;Strawberry and rhubarbcompote;Pudding;Muffin;
